artist,date,genre,style,title,filename,Gender
Kuzma Petrov-Vodkin,1928,portrait,Symbolism,The girl at the window ,88493.jpg,0
Marc Chagall,1930,portrait,Surrealism,The Acrobat,88506.jpg,0
Kuzma Petrov-Vodkin,1921,portrait,Symbolism,In the teahouses ,88517.jpg,0
Nicolae Vermont,1920.0,portrait,Impressionism,At the Well,88528.jpg,0
Lucian Freud,1999,portrait,Expressionism,Susanna,88546.jpg,0
Tamara de Lempicka,1929,portrait,Art Deco,Woman in a Yellow Dress,88608.jpg,1
Raoul Dufy,1927,portrait,Post-Impressionism,Marie Max,88615.jpg,0
Gosta Adrian-Nilsson,1951.0,portrait,Surrealism,Blue head,88636.jpg,0
Juan Gris,1918,portrait,Cubism,Man from Touraine,88658.jpg,0
Pierre-Auguste Renoir,1915,portrait,Impressionism,Portrait of a Woman,88733.jpg,0
Andy Warhol,1986,portrait,Pop Art,Joseph Beuys in Memoriam,88739.jpg,0
Enrico Baj,1971.0,portrait,Cubism,Matilde di Canossa,88783.jpg,0
Xu Beihong,1941.0,portrait,Realism,A Portrait of Madame Cheng. ,88786.jpg,0
Ernst Ludwig Kirchner,1930,portrait,Expressionism,Two Heads Looking at Each Other,88797.jpg,0
David Park,1960,portrait,Neo-Expressionism,Head,88800.jpg,0
Gustav Klimt,1912,portrait,Art Nouveau (Modern),Portrait of Adele Bloch-Bauer II,88803.jpg,0
Andy Warhol,1968,portrait,Pop Art,Marilyn Monroe,88808.jpg,0
M.C. Escher,1935,portrait,Surrealism,Portrait of G.A. Escher,8881.jpg,0
Kanae Yamamoto,1914.0,portrait,Sōsaku hanga,Chinese Lady,8884.jpg,0
Olga Rozanova,1911,portrait,Cubism,Lady in pink (Artist's sister Anna Rozanova),88843.jpg,1
Jean Cocteau,1937.0,portrait,Expressionism,Elsa Schiaparelli gown in Harper's Bazaar ,88850.jpg,0
Victor Borisov-Musatov,1903,portrait,Impressionism,Portrait of Nadezhda Staniukovich,88884.jpg,0
Theo van Rysselberghe,1908,portrait,Impressionism,Portrait of Madame Monnon,88929.jpg,0
Ferdinand Hodler,1914,portrait,Art Nouveau (Modern),Valentine Gode Darel in hospital bed,88945.jpg,0
Samuel Peploe,1923.0,portrait,Post-Impressionism,Boy Reading ,88973.jpg,0
Robert Henri,1917.0,portrait,American Realism,Julianita ,89006.jpg,0
Tamara de Lempicka,1932,portrait,Art Deco,Portrait of Mrs M,89033.jpg,1
Konstantin Korovin,1911,portrait,Impressionism,Portrait of Chaliapin,89036.jpg,0
David Burliuk,1949,portrait,Post-Impressionism,Marusia by the sea,89049.jpg,0
Jose de Almada-Negreiros,1954.0,portrait,Art Deco,Portrait of Fernando Pessoa,89059.jpg,0
Alphonse Mucha,1905,portrait,Romanticism,"Portrait of Marushka, Artist s Wife",89069.jpg,0
Amedeo Modigliani,1916,portrait,Expressionism,Viking Eggeling,89079.jpg,0
Kees van Dongen,1925,portrait,Fauvism,Josephine Baker,8908.jpg,0
Frida Kahlo,1944.0,portrait,Surrealism,Diego and Frida,89106.jpg,1
William H. Johnson,1940,portrait,Naïve Art (Primitivism),Woman with Pink Blouse in Yellow Chair,89186.jpg,0
John Bratby,1960.0,portrait,Expressionism,Girl with a Rose in Her Lap,89233.jpg,0
Torii Kotondo,1933.0,portrait,Shin-hanga,Misty Spring,89234.jpg,0
Paritosh Sen,2007.0,portrait,Expressionism,Woman,89304.jpg,0
Henri Matisse,1934,portrait,Expressionism,Woman with a White Dress,89314.jpg,0
Konstantin Korovin,1905,portrait,Impressionism,Portrait of Feodor Chaliapin,89319.jpg,0
Horace Pippin,1940.0,portrait,Naïve Art (Primitivism),Portrait Of Christian Brinton,8933.jpg,0
Endre Bartos,1989.0,portrait,Expressionism,Teréz with withering sunflowers,89399.jpg,0
Konstantin Yuon,1945,portrait,Realism,A.S. Pushkin,89403.jpg,0
William James Glackens,1911,portrait,Impressionism,The artist's wife and son,89438.jpg,0
Anita Malfatti,1915.0,portrait,Post-Impressionism,A estudante russa,89457.jpg,1
Charles Wilbert White,1949.0,portrait,Social Realism,Negro: U.S.A.,89458.jpg,0
Ilya Mashkov,1911,portrait,Fauvism,"Three sisters on the couch. Portrait of N. Samoilova, L. Samoilova and E. Samoilova",8950.jpg,0
Pablo Picasso,1901,portrait,Expressionism,Two acrobats (Harlequin and his companion),89503.jpg,0
Mikhail Nesterov,1938,portrait,Realism,Portrait of Elizaveta Kruglikova,89517.jpg,0
May Wilson,1972.0,portrait,Feminist Art,"Ridiculous Portrait (Seated Woman, Small Book)",89518.jpg,1
Fernand Leger,1952.0,portrait,Cubism,Three sisters,8953.jpg,0
August Macke,1909,portrait,Expressionism,Portrait of the artist's wife with a hat,89540.jpg,0
Jury Annenkov,1917,portrait,Cubism,Portrait of Elena Annenkova ,89546.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Elena Picard,89556.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Young Man (Student),89590.jpg,0
Paula Modersohn-Becker,1903,portrait,Expressionism,Girl with black hat,89594.jpg,1
Zinaida Serebriakova,1947,portrait,Expressionism,Portrait of Geraldine Cobb ,89617.jpg,1
Zinaida Serebriakova,1941,portrait,Expressionism,Portrait of a Jewish philanthropist Igor S. Hurwitz ,89644.jpg,1
George Bouzianis,1928,portrait,Expressionism,Young man ,89681.jpg,0
Paula Modersohn-Becker,1906,portrait,Expressionism,Old Woman in the Garden,89707.jpg,1
Varlin,1960.0,portrait,Expressionism,Mann im Kürassierhelm,89708.jpg,0
William Merritt Chase,1903,portrait,Realism,Portrait of James Whitcomb Riley,89715.jpg,0
Arturo Souto,1962.0,portrait,Post-Impressionism,Bust of woman,89756.jpg,0
Odilon Redon,1908,portrait,Symbolism,Portrait of Simone Fayet in Holy Communion,89767.jpg,0
John William Godward,1902,portrait,Neoclassicism,Girl with Red Rose,89775.jpg,0
Samuel Peploe,1912.0,portrait,Post-Impressionism,"Portrait of a Girl, Red Bandeau ",89789.jpg,0
Sidney Nolan,1965,portrait,Surrealism,Kelly,89804.jpg,0
Fernand Leger,1952.0,portrait,Cubism,"The two women, two sisters",89841.jpg,0
Iosif Iser,1946.0,portrait,Impressionism,The Spanish Woman,89855.jpg,0
Tano Festa,1983.0,portrait,Expressionism,Entreneuse,89868.jpg,0
Robert Henri,1919.0,portrait,American Realism,The Green Coat ,89896.jpg,0
Enrico Baj,1973.0,portrait,Neo-Dada,Georges Rivollet,89918.jpg,0
Egon Schiele,1917,portrait,Expressionism,Portrait of Karl Maylander,89953.jpg,0
Egon Schiele,1917,portrait,Expressionism,Portrait of the Actress Marga Boerner,89957.jpg,0
John Collier,1904,portrait,Romanticism, The Sinner,89975.jpg,0
Boris Kustodiev,1920.0,portrait,Art Nouveau (Modern),Wanderer,89981.jpg,0
Umberto Boccioni,1912,portrait,Cubism,The antigraceful,90007.jpg,0
Egon Schiele,1909,portrait,Art Nouveau (Modern),Portrait of the Composer Arthur Lowenstein,90012.jpg,0
Patrick Procktor,1983.0,portrait,Pop Art,"R. F. M. Harka Raj Rai, 10th Prime Minister's Official Representative: Gurkha in Belize",90027.jpg,0
Boris Kustodiev,1903.0,portrait,Realism,Portrait of N.V. Muraviev,90038.jpg,0
Robert Henri,1919.0,portrait,American Realism,Portrait of Jean McVitty,90051.jpg,0
John French Sloan,1905,portrait,New Realism,"Stein, Profile (Foreign Girl)",90066.jpg,0
John William Godward,1912,portrait,Neoclassicism,Absence Makes the Heart Grow Fonder,90139.jpg,0
Giovanni Boldini,1904,portrait,Impressionism,Princes Radziwill with Red Rbbon,90156.jpg,0
Laura Knight,1932.0,portrait,Impressionism,Miss Thompson (Miss Patricia Thompson),90160.jpg,1
Pablo Picasso,1914,portrait,Synthetic Cubism,Portrait of young girl,90209.jpg,0
Otto Dix,1926.0,portrait,Expressionism,Portrait of the Journalist Sylvia Von Harden,90264.jpg,0
Pablo Picasso,1905,portrait,Post-Impressionism,Portrait of Madame Canals,90267.jpg,0
Henri Matisse,1939,portrait,Expressionism,The Romanian Green Bluse,90274.jpg,0
Max Liebermann,1918,portrait,Impressionism,Portrait of Richard Strauss,90278.jpg,0
George Pemba,1944,portrait,Social Realism,Basoth woman with headdress,90306.jpg,0
Giovanni Boldini,1921,portrait,Realism,Donna Franca Florio,90340.jpg,0
Augustus John,1937.0,portrait,Post-Impressionism,The Two Jamaican Girls,90345.jpg,0
Endre Balint,1947,portrait,Expressionism,Circus Woman,90362.jpg,0
Mario Sironi,1910,portrait,Divisionism,Portrait of Brother Ettore ,90365.jpg,0
John William Godward,1901,portrait,Neoclassicism,At the Garden Door,90370.jpg,0
Boris Kustodiev,1902.0,portrait,Realism,General of Infantry Christopher Roop,90380.jpg,0
Christian Schad,1916.0,portrait,Cubism,Portrait de Walter Serner ,90390.jpg,0
Pablo Picasso,1954,portrait,Expressionism,Portrait of Sylvette David,904.jpg,0
Pierre-Auguste Renoir,1910,portrait,Impressionism,Jean Renoir as a Hunter,90411.jpg,0
Konstantin Yuon,1929,portrait,Post-Impressionism,"Portrait of Oleg Yuon, the artist's grandson",90452.jpg,0
Pablo Picasso,1941,portrait,Surrealism,Woman sitting in an armchair,90483.jpg,0
Robert Henri,1906.0,portrait,American Realism,Portrait of Thomas Anschutz,90505.jpg,0
Pablo Picasso,1901,portrait,Post-Impressionism,Woman with jewelery,90546.jpg,0
Edvard Munch,1921.0,portrait,Expressionism,Woman in Blue (Frau Barth),90549.jpg,0
Paul Delvaux,1967.0,portrait,Surrealism,Chrysis ,90551.jpg,0
Leon Bakst,1916.0,portrait,Art Nouveau (Modern),Portrait of Miss Paoloff,90562.jpg,0
Lucian Freud,1982,portrait,Expressionism,Head of a Man,90567.jpg,0
George Stefanescu-Ramnic ,1962,portrait,Post-Impressionism,Selfportrait,9058.jpg,0
Zinaida Serebriakova,1924,portrait,Expressionism,Portrait S.N.Andronikovoy Halpern ,90606.jpg,1
Columbano Bordalo Pinheiro,1912,portrait,Realism,Retrato de Mª Cristina Bordalo Pinheiro,90612.jpg,0
Pavel Filonov,1936,portrait,Socialist Realism,Portrait of Joseph Stalin (Iosif Vissarionovich Dzhugashvili),90622.jpg,0
Amedeo Modigliani,1910,portrait,Expressionism,Portrait of a Young Girl,90691.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Portrait of a Woman,90728.jpg,0
Lucian Freud,1995,portrait,Expressionism,Bella in her Pluto T-Shirt,90732.jpg,0
Jeffrey Smart,1980,portrait,Hyper-Realism,Study for Portrait of David Malouf,90755.jpg,0
Anita Malfatti,1916.0,portrait,Post-Impressionism,A mulher de cabelos verdes,90758.jpg,1
Andy Warhol,1983,portrait,Pop Art,Ingrid Bergman as the Nun,90767.jpg,0
Dorothea Tanning,1947,portrait,Surrealism,Max in a Blue Boat,9077.jpg,1
Vicente Manansala,1953.0,portrait,Cubism,"Man, Girl and Cock",90779.jpg,0
Fernand Leger,1954.0,portrait,Cubism,Face with both hands ,9078.jpg,0
Keith Haring,1985,portrait,Pop Art,Portrait of Macho Camacho,90785.jpg,0
Tamara de Lempicka,1946,portrait,Art Deco,Amethyst,90798.jpg,1
Filipp Malyavin,1911,portrait,Art Nouveau (Modern),Portrait of artist's family,90834.jpg,0
Pyotr Konchalovsky,1910,portrait,Fauvism,Bullfighting amateur ,90841.jpg,0
Richard Gerstl,1908,portrait,Post-Impressionism,Mathilde Schoenberg in Garden ,90865.jpg,0
Zinaida Serebriakova,1942,portrait,Expressionism,Portrait of Alexandre Popoff in a smoking jacket,90893.jpg,1
Tsuguharu Foujita,1917.0,portrait,Expressionism,Mother and Two Children,90932.jpg,0
Yasuo Kuniyoshi,1924.0,portrait,Expressionism,Bather with Cigarette,90976.jpg,0
Lucian Freud,1945,portrait,Surrealism,Woman with a Tulip,91030.jpg,0
Henri Matisse,1946,portrait,Expressionism,Asia ,91050.jpg,0
Boris Kustodiev,1910.0,portrait,Realism,Portrait of V.N.Argutinsky-Dolgorukov,91057.jpg,0
Martiros Saryan,1931,portrait,Expressionism,Portrait of Victoria Alabyan,91059.jpg,0
Elaine de Kooning,1956,portrait,Expressionism,Thomas B. Hess  ,91094.jpg,1
Ivan Albright,1927.0,portrait,Magic Realism,"I Walk To and Fro Through Civilization, ",91129.jpg,0
Marcel Duchamp,1910,portrait,Post-Impressionism,Portrait of Dr. Ferdinand Tribout,91193.jpg,0
Pyotr Konchalovsky,1913,portrait,Fauvism,Portrait of P. Denike (Yuriev)and A. Pokrovsky,9121.jpg,0
Pablo Picasso,1937,portrait,Naïve Art (Primitivism),Crying woman,91211.jpg,0
Anders Zorn,1906,portrait,Realism,The Painter Bruno Liljefors,91219.jpg,0
Boris Kustodiev,1914.0,portrait,Realism,Portrait of Konstantin Somov,91240.jpg,0
Thomas Pollock Anshutz,1909.0,portrait,Realism,Figurepiece,91262.jpg,0
Odilon Redon,1907,portrait,Symbolism,Portrait of Simone Fayet,91312.jpg,0
Jean Metzinger,1905.0,portrait,Divisionism,Femme assise au bouquet de feuillage ,91318.jpg,0
Boris Kustodiev,1901.0,portrait,Realism,Portrait of Julia Petrovna Greek,91333.jpg,0
Pablo Picasso,1924,portrait,Neoclassicism,Paul as harlequin,91351.jpg,0
George Washington Lambert,1917.0,portrait,Symbolism,Portrait of Australian Painter Arthur Streeton ,91385.jpg,0
Kees van Dongen,1930,portrait,Post-Impressionism,Woman on Sofa,91458.jpg,0
Ivan Albright,1927.0,portrait,Magic Realism,Memories of the Past,91472.jpg,0
Elaine de Kooning,1956,portrait,Expressionism,Harold Rosenberg ,9150.jpg,1
Salvador Dali,1939,portrait,Surrealism,Philosopher Illuminated by the Light of the Moon and the Setting Sun,91505.jpg,0
George Pemba,1951,portrait,Social Realism,Mother and child,91518.jpg,0
Ivan Albright,1947.0,portrait,Expressionism,Josephine and Adam,91525.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Portrait of Jean Cocteau,91538.jpg,0
Zinaida Serebriakova,1922,portrait,Art Nouveau (Modern),Portrait of a ballerina L.A. Ivanova ,91592.jpg,1
Egon Schiele,1913,portrait,Expressionism,Double Portrait (Chief Inspector Heinrich Benesch and His Son Otto),916.jpg,0
Boris Kustodiev,1926.0,portrait,Realism,Portrait of V. Shishkov,91642.jpg,0
Lucian Freud,1987,portrait,Expressionism,"Annabel, portrait III",91667.jpg,0
John William Godward,1906,portrait,Neoclassicism,The Tambourine Girl,91671.jpg,0
Lucian Freud,1961,portrait,Expressionism,Baby on a Green Sofa,91674.jpg,0
Bertalan Por,1938.0,portrait,Post-Impressionism,Margitka,91685.jpg,0
Avigdor Arikha,1970.0,portrait,Expressionism,Samuel Beckett in Profile,91688.jpg,0
Pablo Picasso,1939,portrait,Surrealism,Woman's head,91718.jpg,0
Mstislav Dobuzhinsky,1914,portrait,Art Nouveau (Modern),"Portrait of the Artist's Daughter, Vera",9176.jpg,0
Horace Pippin,1936.0,portrait,Naïve Art (Primitivism),The Artist's Wife,91761.jpg,0
Samuel Mutzner,1925.0,portrait,Impressionism,With Mum,91791.jpg,0
Milton Avery,1944,portrait,Fauvism,Two Figures at Desk,91799.jpg,0
Istvan Nagy,1913.0,portrait,Post-Impressionism,Székely girl,91812.jpg,0
Kateryna Bilokur,1928,portrait,Naïve Art (Primitivism),Portrait of Olya Bilokur ,91844.jpg,1
Amedeo Modigliani,1915,portrait,Expressionism,"Beatrice Hastings, Seated",91847.jpg,0
Zinaida Serebriakova,1941,portrait,Art Deco,Portrait of Berthe Popoff in a floral fascinator,91872.jpg,1
Henri Matisse,1937,portrait,Expressionism,Purple Robe and Anemones,91916.jpg,0
Theo van Rysselberghe,1907,portrait,Pointillism,Portrait of Daisy Weber,91920.jpg,0
Augustus John,1930.0,portrait,Post-Impressionism,Lady Mary Alington,91940.jpg,0
Alphonse Mucha,1913,portrait,Romanticism,Portrait of a Girl,91963.jpg,0
Boris Kustodiev,1915.0,portrait,Impressionism,Portrait of a Girl,91974.jpg,0
Vanessa Bell,1929.0,portrait,Post-Impressionism,The Red Dress,91999.jpg,1
John Bauer,1906.0,portrait,Art Nouveau (Modern),Same i skogsbryn ,92003.jpg,0
Konstantin Yuon,1920,portrait,Realism,Portrait of the writer Vyacheslav Ivanov,92038.jpg,0
Tamara de Lempicka,1927,portrait,Art Deco,Young Ladies,9205.jpg,1
Sandor Bortnyik,1921.0,portrait,Cubism,The Lamplighter,92061.jpg,0
Paul Klee,1923,portrait,Expressionism,The singer L as Fioridigli,92079.jpg,0
Alice Neel,1931,portrait,Expressionism,Kenneth Dolittle,92081.jpg,1
Giovanni Boldini,1914,portrait,Impressionism,Portrait of the Marquise,92098.jpg,0
Marevna (Marie Vorobieff),1936.0,portrait,Pointillism,Senegal solgier,92109.jpg,1
George Mavroides,1960.0,portrait,Expressionism,Portrait of Andreas Vurlumis,92120.jpg,0
Enrique Grau,1957.0,portrait,Neo-Figurative Art,Juegos nocturnos,92175.jpg,0
Egon Schiele,1916,portrait,Art Nouveau (Modern),Woman with Greyhound (Edith Schiele),92195.jpg,0
Paul Jacoulet,1950.0,portrait,Ukiyo-e,Le Mandarin Aux Lunettes. Mandchoukuo,92229.jpg,0
Helene Schjerfbeck,1944.0,portrait,Expressionism,Portrait of a Girl in Blue and Brown (Inez),92231.jpg,1
Augustus John,1911.0,portrait,Post-Impressionism,Head of Dorelia McNeill,92296.jpg,0
Torii Kotondo,1933.0,portrait,Shin-hanga,After the Bath,92339.jpg,0
Grigoriy Myasoyedov,1902.0,portrait,Realism,Portrait of fiddler V. G. Walter,92346.jpg,0
Pyotr Konchalovsky,1949,portrait,Post-Impressionism,Portrait of the actress Vera Georgievna Dulova,9235.jpg,0
Boris Grigoriev,1918.0,portrait,Expressionism,Village,92441.jpg,0
William H. Johnson,1944,portrait,Naïve Art (Primitivism),Little Sweet,92462.jpg,0
Claudio Bravo,1967,portrait,Hyper-Realism,Portrait of Imelda Cojuangco,92478.jpg,0
Diego Rivera,1936,portrait,Naïve Art (Primitivism),The Pinole Seller,92482.jpg,0
Martiros Saryan,1923,portrait,Expressionism,Portrait of the poet Yeghishe Charents,92492.jpg,0
Valentin Serov,1911.0,portrait,Realism,Portrait of Alexei Stakhovich,92501.jpg,0
Andy Warhol,1975,portrait,Pop Art,Drag Queen,92528.jpg,0
Robert Henri,1916.0,portrait,American Realism,"Ricardo, Indian of San Ildefonso",92563.jpg,0
Boris Kustodiev,1911.0,portrait,Art Nouveau (Modern),Peter the Great,92567.jpg,0
William Merritt Chase,1908,portrait,Impressionism,Portrait of Martha Walter,92577.jpg,0
Raoul Dufy,1932,portrait,Post-Impressionism,Pierre Geismar,92610.jpg,0
Giovanni Boldini,1910,portrait,Impressionism,Portrait of Madame E. L. Doyen,92631.jpg,0
George Henry,1907.0,portrait,Realism,Professor George Gilbert Ramsay,92632.jpg,0
Giovanni Boldini,1924,portrait,Impressionism,Portrait of Donna Franca Florio,92643.jpg,0
Pavel Filonov,1915,portrait,Analytical Realism,Defeater of the City,92677.jpg,0
Pablo Picasso,1901,portrait,Post-Impressionism,Woman with blue hat,92681.jpg,0
Jean Dubuffet,1925,portrait,Expressionism,Lecciones Botanica,92691.jpg,0
Alexandre Jacovleff,1932.0,portrait,Expressionism,Mongolian Chiefs ,9270.jpg,0
Enrique Grau,1976.0,portrait,Neo-Figurative Art,Mujer con pájaros,92714.jpg,0
Lucian Freud,1999,portrait,Expressionism,Head of a Naked Girl,92719.jpg,0
Victor Brauner,1935,portrait,Surrealism,Composition with Portrait,92755.jpg,0
Kiyoshi Saito,1955.0,portrait,Sōsaku hanga,Coral,9280.jpg,0
Boris Kustodiev,1904.0,portrait,Realism,Portrait of Y.E. Kustodieva with son,92813.jpg,0
Fernand Leger,1912.0,portrait,Cubism,The Woman in Blue,92819.jpg,0
Robert Henri,1922.0,portrait,American Realism,Boy with a Green Cap (also known as Chico),92828.jpg,0
Thomas Eakins,1903,portrait,Realism,Portrait of Benjamin Sharp,92835.jpg,0
Paul Jacoulet,1953.0,portrait,Ukiyo-e,La Fille du Chef. Mogomog,92842.jpg,0
Gwen John,1908,portrait,Post-Impressionism,Chloe Boughton Leigh,9285.jpg,1
Robert Brackman,1933.0,portrait,Realism,Young Lady of 1933,92870.jpg,0
Pyotr Konchalovsky,1923,portrait,Post-Impressionism,Female portrait,92874.jpg,0
Torii Kotondo,1929.0,portrait,Shin-hanga,Applying Powder,92920.jpg,0
John William Godward,1903,portrait,Neoclassicism,Contemplation,92924.jpg,0
Kuzma Petrov-Vodkin,1907,portrait,Symbolism,Portrait of M.F.Petrova-Vodkina,9304.jpg,0
Torii Kotondo,1929.0,portrait,Shin-hanga,Preparing Her Sash,93065.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Woman with Velvet Ribbon (The Black Border),93141.jpg,0
Pierre Bonnard,1920,portrait,Post-Impressionism,Joseph Bernheim Jeune and Gaston Bernheim de Villers,93164.jpg,0
Richard Gerstl,1906,portrait,Expressionism,Ernst Diez I,93204.jpg,0
Robert Henri,1906.0,portrait,American Realism,Maria y Consuelo (Gitana) ,93214.jpg,0
Jozsef Rippl-Ronai,1918.0,portrait,Art Nouveau (Modern),Lajos und Odon ,93313.jpg,0
Rene Portocarrero,1963,portrait,Modernismo,Ornamented Figure,93315.jpg,0
Avigdor Arikha,1995.0,portrait,Expressionism,Anne in the Doorway,93331.jpg,0
Grant Wood,1932.0,portrait,Regionalism,Daughters of Revolution ,93336.jpg,0
Pyotr Konchalovsky,1910,portrait,Fauvism,Spanish boy,93363.jpg,0
Robert Henri,1906.0,portrait,American Realism,Modestilla de Madrid ,93364.jpg,0
Tamara de Lempicka,1928,portrait,Art Deco,In The Middle Of Summer,93397.jpg,1
Zinaida Serebriakova,1946,portrait,Expressionism,"Alexander Serebryakov, reading a book ",93404.jpg,1
Paul Jacoulet,1957.0,portrait,Ukiyo-e,Le Banni. Sud Coree,93421.jpg,0
Ossip Zadkine,1944,portrait,Expressionism,Harlequins violinists hidden,9343.jpg,0
Henri Matisse,1916,portrait,Post-Impressionism,Auguste Pellerin II,9344.jpg,0
John Singer Sargent,1903,portrait,Realism,Mrs. Gardiner Greene Hammond (Esther Fiske Hammond),93447.jpg,0
Niko Pirosmani,1906,portrait,Naïve Art (Primitivism),Man with a horn for drinking wine (Portrait of Meliton Chkheidze),93522.jpg,0
Lucian Freud,2002,portrait,Expressionism,Woman with Eyes Closed,936.jpg,0
Boris Kustodiev,1903.0,portrait,Realism,Portrait of P. Salomon,9360.jpg,0
John Collier,1928,portrait,Realism,Mrs Huxley,93605.jpg,0
Francis Picabia,1925,portrait,Surrealism,Match Woman,93611.jpg,0
M.C. Escher,1955,portrait,Surrealism,Christmas Card,93640.jpg,0
Jean Dupas,1924.0,portrait,Art Deco,Portrait of a Woman with Hat,93654.jpg,0
Pyotr Konchalovsky,1935,portrait,Fauvism,Portrait of Anna Kondratyevna Reyhshtadt against the background of a winter landscape,93657.jpg,0
Howard Finster,1980.0,portrait,Art Brut,Elvis And The Arpitaun World,93661.jpg,0
William H. Johnson,1940,portrait,Naïve Art (Primitivism),Athlete,93671.jpg,0
Suzanne Valadon,1921,portrait,Post-Impressionism,Portrait of Maurice Utrillo ,93675.jpg,1
Martiros Saryan,1907,portrait,Expressionism,Fabric saleswoman,93685.jpg,0
Edmund Charles Tarbell,1921,portrait,Impressionism,The Sisters,93686.jpg,0
Boris Grigoriev,1923.0,portrait,Expressionism,The Twins,93692.jpg,0
Helene Schjerfbeck,1943.0,portrait,Expressionism,Nurse I (Kaija Lahtinen),93731.jpg,1
Tamara de Lempicka,1922,portrait,Art Deco,Redheaded Woman Reading,93745.jpg,1
Raoul Dufy,1907,portrait,Post-Impressionism,Jeanne with Flowers,93749.jpg,0
Marc Chagall,1914,portrait,Expressionism,Wounded Soldier,9375.jpg,0
Max Slevogt,1903.0,portrait,Impressionism,"Francisco d'Andrade, Reading a Newspaper",93750.jpg,0
Robert Henri,1924.0,portrait,American Realism,Smiling Tom (Thomas Cafferty),93764.jpg,0
Lucian Freud,1999,portrait,Expressionism,Robert Fellowes,93770.jpg,0
George Mavroides,1971.0,portrait,Expressionism,Pink blouse ,93794.jpg,0
Eugeniusz Żak,1921.0,portrait,Post-Impressionism,Girl in Profile,9380.jpg,0
Charles M. Russell,1922.0,portrait,Romanticism,Charles M. Russell and His Friends ,93801.jpg,0
Pyotr Konchalovsky,1950,portrait,Realism,Portrait of film director Alexander Petrovich Dovzhenko,93805.jpg,0
David Alfaro Siqueiros,1957,portrait,Social Realism,The Revolutionary,93809.jpg,0
Bela Czobel,1937.0,portrait,Expressionism,Madonna,93872.jpg,0
Ilya Repin,1913.0,portrait,Impressionism,Equestrian portrait of Alexander II ,93886.jpg,0
Vasily Surikov,1906,portrait,Realism,Portrait of young lady,93887.jpg,0
Nikos Nikolaou,1929,portrait,Realism,Drawing of a man,93917.jpg,0
John William Godward,1918,portrait,Neoclassicism,Lycinna,93928.jpg,0
Boris Kustodiev,1911.0,portrait,Realism,Alexander Benois,94012.jpg,0
Giorgio de Chirico,1910,portrait,Metaphysical art,"Portrait of Andrea, brother of the artist",94022.jpg,0
George Stefanescu-Ramnic ,1966,portrait,Figurative Expressionism,Delu (Artist’s Brother) ,94024.jpg,0
Thomas Pollock Anshutz,1906.0,portrait,Realism,Portrait of Marthe Hientz,94025.jpg,0
Samuel Peploe,1930.0,portrait,Post-Impressionism,Willy Peploe ,94042.jpg,0
Egon Schiele,1918,portrait,Art Nouveau (Modern),Portrait of Edith Schiele,9405.jpg,0
Boris Kustodiev,1902.0,portrait,Realism,Portrait of D.F. Bogoslovsky,94067.jpg,0
Richard Gerstl,1907,portrait,Pointillism,Portrait of a Gentleman,94092.jpg,0
Lucian Freud,1972,portrait,Expressionism,Annabel,94124.jpg,0
Rafael Zabaleta,1943.0,portrait,Post-Impressionism,Women in countryside,94147.jpg,0
Pablo Picasso,1946,portrait,Naïve Art (Primitivism),Head of a woman with green curls,9415.jpg,0
Nikolaos Lytras,1914,portrait,Expressionism,Portrait of young K.M,9420.jpg,0
M. H. Maxy,1940.0,portrait,Cubism,Organ-grinder ,9422.jpg,0
Jacek Malczewski,1908,portrait,Art Nouveau (Modern),Portrait of Władysław Żeleński,94239.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Girl in a Green Blouse,94293.jpg,0
Torii Kotondo,1934.0,portrait,Shin-hanga,Autumn Leaves,94316.jpg,0
Jury Annenkov,1926,portrait,Expressionism,Portrait of Kamenev,94321.jpg,0
Augustus John,1927.0,portrait,Post-Impressionism,Edwin John,94327.jpg,0
Carl Larsson,1902,portrait,Art Nouveau (Modern),"Hakon, Daga and Edgar",94338.jpg,0
Ilya Repin,1906.0,portrait,Realism,The Delarov Family Portrait ,94367.jpg,0
Mikhail Nesterov,1905,portrait,Symbolism,Portrait of Natalia Yashvil,9441.jpg,0
John Bratby,1980.0,portrait,Expressionism,Sir Arthur Bryan ,94446.jpg,0
George Pemba,1957,portrait,Realism,Young boy,94479.jpg,0
Ilya Repin,1908.0,portrait,Realism,Portrait of Kryuchkov,94522.jpg,0
Felix Vallotton ,1908,portrait,Art Nouveau (Modern),Portrait de Gabrielle Vallotton,94525.jpg,0
Pyotr Konchalovsky,1950,portrait,Realism,Portrait of Konstantin Mikhailovich Simonov,94543.jpg,0
Salvador Dali,1930,portrait,Surrealism,Portrait of Mr. Emilio Terry (unfinished),94555.jpg,0
John Bratby,1990.0,portrait,Expressionism,"John with Two Pattis, Beauport Park, Hastings  ",94556.jpg,0
Carlos Saenz de Tejada,1941,portrait,Expressionism,Portrait of Carlos Saenz de Tejada Benvenuti,94639.jpg,0
Robert Henri,1921.0,portrait,American Realism,Little Carl (Karl Schleicher),94659.jpg,0
